doc_key,level,scope,feature_name,z_plan,output_path,evidence_gathered,generated,self_check_passed,reviewed,batch_id,run_date,notes
application_inventory,0,application,—,z-discovery,L0-discovery/application-inventory.md,Y,Y,Y,N,batch-1,2026-08-25,"9 grounded, 6 unavailable, family A-output-structure"
as_is_assessment,0,application,—,z-quality,L0-discovery/as-is-assessment.md,Y,Y,Y,N,batch-1,2026-08-25,"6 grounded, 8 unavailable, family A-output-structure"
business_capabilities,1,application,—,z-business,L1-business-context/business-capabilities.md,Y,Y,Y,N,batch-1,2026-08-25,"4 grounded, 2 unavailable, family C-fixed"
business_features::acctfile-jcl,1,feature:ACCTFILE.jcl,ACCTFILE.jcl,z-business,L1-business-context/business-features/acctfile-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::batcmp-jcl,1,feature:BATCMP.jcl,BATCMP.jcl,z-business,L1-business-context/business-features/batcmp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::bldcidb2-prc,1,feature:BLDCIDB2.prc,BLDCIDB2.prc,z-business,L1-business-context/business-features/bldcidb2-prc.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::bmscmp-jcl,1,feature:BMSCMP.jcl,BMSCMP.jcl,z-business,L1-business-context/business-features/bmscmp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::buildbat-prc,1,feature:BUILDBAT.prc,BUILDBAT.prc,z-business,L1-business-context/business-features/buildbat-prc.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::buildbms-prc,1,feature:BUILDBMS.prc,BUILDBMS.prc,z-business,L1-business-context/business-features/buildbms-prc.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::buildonl-prc,1,feature:BUILDONL.prc,BUILDONL.prc,z-business,L1-business-context/business-features/buildonl-prc.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cardfile-jcl,1,feature:CARDFILE.jcl,CARDFILE.jcl,z-business,L1-business-context/business-features/cardfile-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cbadmcdj-jcl,1,feature:CBADMCDJ.jcl,CBADMCDJ.jcl,z-business,L1-business-context/business-features/cbadmcdj-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cbexport-jcl,1,feature:CBEXPORT.jcl,CBEXPORT.jcl,z-business,L1-business-context/business-features/cbexport-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::cbimport-jcl,1,feature:CBIMPORT.jcl,CBIMPORT.jcl,z-business,L1-business-context/business-features/cbimport-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::cbpaup0j-jcl,1,feature:CBPAUP0J.jcl,CBPAUP0J.jcl,z-business,L1-business-context/business-features/cbpaup0j-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::ciccmp-jcl,1,feature:CICCMP.jcl,CICCMP.jcl,z-business,L1-business-context/business-features/ciccmp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cicdbcmp-jcl,1,feature:CICDBCMP.jcl,CICDBCMP.jcl,z-business,L1-business-context/business-features/cicdbcmp-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::closefil-jcl,1,feature:CLOSEFIL.jcl,CLOSEFIL.jcl,z-business,L1-business-context/business-features/closefil-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::coactup,1,feature:COACTUP,COACTUP,z-business,L1-business-context/business-features/coactup.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::coactvw,1,feature:COACTVW,COACTVW,z-business,L1-business-context/business-features/coactvw.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::coadm01,1,feature:COADM01,COADM01,z-business,L1-business-context/business-features/coadm01.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cobil00,1,feature:COBIL00,COBIL00,z-business,L1-business-context/business-features/cobil00.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cocrdli,1,feature:COCRDLI,COCRDLI,z-business,L1-business-context/business-features/cocrdli.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cocrdsl,1,feature:COCRDSL,COCRDSL,z-business,L1-business-context/business-features/cocrdsl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cocrdup,1,feature:COCRDUP,COCRDUP,z-business,L1-business-context/business-features/cocrdup.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::combtran-jcl,1,feature:COMBTRAN.jcl,COMBTRAN.jcl,z-business,L1-business-context/business-features/combtran-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::comen01,1,feature:COMEN01,COMEN01,z-business,L1-business-context/business-features/comen01.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::copau00,1,feature:COPAU00,COPAU00,z-business,L1-business-context/business-features/copau00.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::copau01,1,feature:COPAU01,COPAU01,z-business,L1-business-context/business-features/copau01.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::corpt00,1,feature:CORPT00,CORPT00,z-business,L1-business-context/business-features/corpt00.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cosgn00,1,feature:COSGN00,COSGN00,z-business,L1-business-context/business-features/cosgn00.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cotrn00,1,feature:COTRN00,COTRN00,z-business,L1-business-context/business-features/cotrn00.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cotrn01,1,feature:COTRN01,COTRN01,z-business,L1-business-context/business-features/cotrn01.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cotrn02,1,feature:COTRN02,COTRN02,z-business,L1-business-context/business-features/cotrn02.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cotrtli,1,feature:COTRTLI,COTRTLI,z-business,L1-business-context/business-features/cotrtli.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cotrtup,1,feature:COTRTUP,COTRTUP,z-business,L1-business-context/business-features/cotrtup.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cousr00,1,feature:COUSR00,COUSR00,z-business,L1-business-context/business-features/cousr00.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cousr01,1,feature:COUSR01,COUSR01,z-business,L1-business-context/business-features/cousr01.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cousr02,1,feature:COUSR02,COUSR02,z-business,L1-business-context/business-features/cousr02.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::cousr03,1,feature:COUSR03,COUSR03,z-business,L1-business-context/business-features/cousr03.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::creadb21-jcl,1,feature:CREADB21.jcl,CREADB21.jcl,z-business,L1-business-context/business-features/creadb21-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::creastmt-jcl,1,feature:CREASTMT.JCL,CREASTMT.JCL,z-business,L1-business-context/business-features/creastmt-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"3 grounded, 2 unavailable, family C-fixed"
business_features::custfile-jcl,1,feature:CUSTFILE.jcl,CUSTFILE.jcl,z-business,L1-business-context/business-features/custfile-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::dalyrejs-jcl,1,feature:DALYREJS.jcl,DALYREJS.jcl,z-business,L1-business-context/business-features/dalyrejs-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::dbpautp0-jcl,1,feature:DBPAUTP0.jcl,DBPAUTP0.jcl,z-business,L1-business-context/business-features/dbpautp0-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
business_features::defcust-jcl,1,feature:DEFCUST.jcl,DEFCUST.jcl,z-business,L1-business-context/business-features/defcust-jcl.md,Y,Y,Y,N,batch-1,2026-08-25,"2 grounded, 3 unavailable, family C-fixed"
