program_name,file_path,language,dd_generated,dd_approved,doc_generated,explain_done,zcodescan_done,reviewed_by_sme,batch_id,notes
CBPAUP0C,app/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,COBOL,N,N,N,N,N,N,batch-1,optional-module: IMS-DB2-MQ
COPAUA0C,app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,COBOL,N,N,N,N,N,N,batch-1,optional-module: IMS-DB2-MQ
COPAUS0C,app/app-authorization-ims-db2-mq/cbl/COPAUS0C.cbl,COBOL,N,N,N,N,N,N,batch-1,optional-module: IMS-DB2-MQ
COPAUS1C,app/app-authorization-ims-db2-mq/cbl/COPAUS1C.cbl,COBOL,N,N,N,N,N,N,batch-1,optional-module: IMS-DB2-MQ
COPAUS2C,app/app-authorization-ims-db2-mq/cbl/COPAUS2C.cbl,COBOL,N,N,N,N,N,N,batch-1,optional-module: IMS-DB2-MQ
DBUNLDGS,app/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COBOL,N,N,N,N,N,N,batch-1,optional-module: IMS-DB2-MQ
PAUDBLOD,app/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,COBOL,N,N,N,N,N,N,batch-1,optional-module: IMS-DB2-MQ
PAUDBUNL,app/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,COBOL,N,N,N,N,N,N,batch-1,optional-module: IMS-DB2-MQ
COBTUPDT,app/app-transaction-type-db2/cbl/COBTUPDT.cbl,COBOL,N,N,N,N,N,N,batch-1,optional-module: DB2
COTRTLIC,app/app-transaction-type-db2/cbl/COTRTLIC.cbl,COBOL,N,N,N,N,N,N,batch-1,optional-module: DB2
COTRTUPC,app/app-transaction-type-db2/cbl/COTRTUPC.cbl,COBOL,N,N,N,N,N,N,batch-1,optional-module: DB2
COACCT01,app/app-vsam-mq/cbl/COACCT01.cbl,COBOL,N,N,N,N,N,N,batch-1,optional-module: MQ
CODATE01,app/app-vsam-mq/cbl/CODATE01.cbl,COBOL,N,N,N,N,N,N,batch-1,optional-module: MQ; system-copybooks-missing: CMQGMOV CMQPMOV CMQMDV CMQODV CMQV CMQTML
CBACT01C,app/cbl/CBACT01C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated; Generate documentation workflow pending
CBACT02C,app/cbl/CBACT02C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
CBACT03C,app/cbl/CBACT03C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
CBACT04C,app/cbl/CBACT04C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated; high complexity
CBCUS01C,app/cbl/CBCUS01C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
CBEXPORT,app/cbl/CBEXPORT.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
CBIMPORT,app/cbl/CBIMPORT.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
CBSTM03A,app/cbl/CBSTM03A.CBL,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
CBSTM03B,app/cbl/CBSTM03B.CBL,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
CBTRN01C,app/cbl/CBTRN01C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
CBTRN02C,app/cbl/CBTRN02C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated; core batch
CBTRN03C,app/cbl/CBTRN03C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COACTUPC,app/cbl/COACTUPC.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated; HIGHEST complexity rank 1
COACTVWC,app/cbl/COACTVWC.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COADM01C,app/cbl/COADM01C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COBIL00C,app/cbl/COBIL00C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COBSWAIT,app/cbl/COBSWAIT.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: arch doc generated
COCRDLIC,app/cbl/COCRDLIC.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COCRDSLC,app/cbl/COCRDSLC.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COCRDUPC,app/cbl/COCRDUPC.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COMEN01C,app/cbl/COMEN01C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
CORPT00C,app/cbl/CORPT00C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COSGN00C,app/cbl/COSGN00C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COTRN00C,app/cbl/COTRN00C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COTRN01C,app/cbl/COTRN01C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COTRN02C,app/cbl/COTRN02C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COUSR00C,app/cbl/COUSR00C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COUSR01C,app/cbl/COUSR01C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COUSR02C,app/cbl/COUSR02C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
COUSR03C,app/cbl/COUSR03C.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated
CSUTLDTC,app/cbl/CSUTLDTC.cbl,COBOL,N,N,P,N,N,N,batch-1,doc_generated=P: paragraph-index+arch doc generated; shared utility
COBDATFT,app/asm/COBDATFT.asm,HLASM,N,N,N,N,N,N,batch-1,HLASM programs need manual documentation workflow
MVSWAIT,app/asm/MVSWAIT.asm,HLASM,N,N,N,N,N,N,batch-1,HLASM programs need manual documentation workflow
