program_name,file_path,language,size_bytes,line_count,in_scope
CBPAUP0C,app/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,COBOL,14832,386,Y
COPAUA0C,app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,COBOL,81437,1026,Y
COPAUS0C,app/app-authorization-ims-db2-mq/cbl/COPAUS0C.cbl,COBOL,44043,1032,Y
COPAUS1C,app/app-authorization-ims-db2-mq/cbl/COPAUS1C.cbl,COBOL,23000,604,Y
COPAUS2C,app/app-authorization-ims-db2-mq/cbl/COPAUS2C.cbl,COBOL,19050,244,Y
DBUNLDGS,app/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COBOL,29195,366,Y
PAUDBLOD,app/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,COBOL,29438,369,Y
PAUDBUNL,app/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,COBOL,25226,317,Y
COBTUPDT,app/app-transaction-type-db2/cbl/COBTUPDT.cbl,COBOL,19197,237,Y
COTRTLIC,app/app-transaction-type-db2/cbl/COTRTLIC.cbl,COBOL,85529,2098,Y
COTRTUPC,app/app-transaction-type-db2/cbl/COTRTUPC.cbl,COBOL,137862,1702,Y
COACCT01,app/app-vsam-mq/cbl/COACCT01.cbl,COBOL,50220,620,Y
CODATE01,app/app-vsam-mq/cbl/CODATE01.cbl,COBOL,42444,524,Y
CBACT01C,app/cbl/CBACT01C.cbl,COBOL,17450,430,Y
CBACT02C,app/cbl/CBACT02C.cbl,COBOL,14096,178,Y
CBACT03C,app/cbl/CBACT03C.cbl,COBOL,14101,178,Y
CBACT04C,app/cbl/CBACT04C.cbl,COBOL,52479,652,Y
CBCUS01C,app/cbl/CBCUS01C.cbl,COBOL,6914,178,Y
CBEXPORT,app/cbl/CBEXPORT.cbl,COBOL,24197,582,Y
CBIMPORT,app/cbl/CBIMPORT.cbl,COBOL,20239,487,Y
CBSTM03A,app/cbl/CBSTM03A.CBL,COBOL,35574,924,Y
CBSTM03B,app/cbl/CBSTM03B.CBL,COBOL,6983,230,Y
CBTRN01C,app/cbl/CBTRN01C.cbl,COBOL,17967,494,Y
CBTRN02C,app/cbl/CBTRN02C.cbl,COBOL,58890,731,Y
CBTRN03C,app/cbl/CBTRN03C.cbl,COBOL,52239,649,Y
COACTUPC,app/cbl/COACTUPC.cbl,COBOL,182463,4236,Y
COACTVWC,app/cbl/COACTVWC.cbl,COBOL,74764,941,Y
COADM01C,app/cbl/COADM01C.cbl,COBOL,22736,288,Y
COBIL00C,app/cbl/COBIL00C.cbl,COBOL,23426,572,Y
COBSWAIT,app/cbl/COBSWAIT.cbl,COBOL,2020,41,Y
COCRDLIC,app/cbl/COCRDLIC.cbl,COBOL,117376,1459,Y
COCRDSLC,app/cbl/COCRDSLC.cbl,COBOL,71308,887,Y
COCRDUPC,app/cbl/COCRDUPC.cbl,COBOL,125961,1560,Y
COMEN01C,app/cbl/COMEN01C.cbl,COBOL,12461,308,Y
CORPT00C,app/cbl/CORPT00C.cbl,COBOL,28302,649,Y
COSGN00C,app/cbl/COSGN00C.cbl,COBOL,10288,260,Y
COTRN00C,app/cbl/COTRN00C.cbl,COBOL,29270,699,Y
COTRN01C,app/cbl/COTRN01C.cbl,COBOL,14244,330,Y
COTRN02C,app/cbl/COTRN02C.cbl,COBOL,33665,783,Y
COUSR00C,app/cbl/COUSR00C.cbl,COBOL,29285,695,Y
COUSR01C,app/cbl/COUSR01C.cbl,COBOL,12571,299,Y
COUSR02C,app/cbl/COUSR02C.cbl,COBOL,17611,414,Y
COUSR03C,app/cbl/COUSR03C.cbl,COBOL,15038,359,Y
CSUTLDTC,app/cbl/CSUTLDTC.cbl,COBOL,11608,157,Y
COBDATFT,app/asm/COBDATFT.asm,HLASM,2494,84,Y
MVSWAIT,app/asm/MVSWAIT.asm,HLASM,1499,30,Y
